epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,1390.3,0.1311,0.60826,0.16525,0.14736,0.89849,0.99973,1,0.995,0.99218,0.99973,1,0.995,0.91258,0.11897,0.34024,0.25163,0.12095,0.42451,0.0004556,0.0004556,0.0004556
80,1408.97,0.12746,0.58605,0.16698,0.13987,0.8971,0.99972,1,0.995,0.99377,0.99972,1,0.995,0.9328,0.13367,0.32534,0.26536,0.12257,0.43349,0.0004358,0.0004358,0.0004358
81,1426.38,0.12941,0.58288,0.17096,0.14062,0.89764,0.99972,1,0.995,0.99369,0.99972,1,0.995,0.96672,0.13637,0.26823,0.24275,0.12338,0.43171,0.000416,0.000416,0.000416
82,1443.77,0.12591,0.56977,0.16784,0.14783,0.8982,0.99971,1,0.995,0.99339,0.99971,1,0.995,0.96891,0.12601,0.27253,0.22417,0.12357,0.42491,0.0003962,0.0003962,0.0003962
83,1461.45,0.12328,0.56037,0.15975,0.13586,0.89686,0.99972,1,0.995,0.99381,0.99972,1,0.995,0.97073,0.11117,0.23472,0.23509,0.15438,0.40348,0.0003764,0.0003764,0.0003764
84,1479.09,0.12482,0.56222,0.16721,0.13904,0.89984,0.99973,1,0.995,0.99356,0.99973,1,0.995,0.92875,0.13408,0.29413,0.23743,0.11552,0.42546,0.0003566,0.0003566,0.0003566
85,1496.53,0.12135,0.57624,0.16173,0.13672,0.89307,0.99973,1,0.995,0.99242,0.99973,1,0.995,0.90104,0.12744,0.30916,0.23738,0.1188,0.42205,0.0003368,0.0003368,0.0003368
86,1513.94,0.12072,0.55605,0.15855,0.13649,0.89216,0.99972,1,0.995,0.99363,0.99972,1,0.995,0.95993,0.11419,0.25961,0.24078,0.12093,0.40331,0.000317,0.000317,0.000317
87,1531.37,0.12002,0.53296,0.16708,0.13141,0.896,0.99972,1,0.995,0.99382,0.99972,1,0.995,0.93217,0.11987,0.25892,0.23352,0.12123,0.41214,0.0002972,0.0002972,0.0002972
88,1548.78,0.12102,0.52154,0.15614,0.13299,0.894,0.99973,1,0.995,0.99469,0.99973,1,0.995,0.94355,0.1294,0.24622,0.24214,0.10728,0.42661,0.0002774,0.0002774,0.0002774
89,1566.21,0.1164,0.51194,0.15989,0.13089,0.89416,0.99973,1,0.995,0.99232,0.99973,1,0.995,0.93632,0.12474,0.27022,0.24057,0.11744,0.42251,0.0002576,0.0002576,0.0002576
90,1583.62,0.11866,0.49909,0.1661,0.13052,0.8932,0.99973,1,0.995,0.99357,0.99973,1,0.995,0.96071,0.12344,0.25207,0.2427,0.13666,0.42155,0.0002378,0.0002378,0.0002378
91,1602.54,0.10019,0.34781,0.2324,0.10186,0.89053,0.99973,1,0.995,0.99365,0.99973,1,0.995,0.95516,0.13316,0.23811,0.21203,0.12142,0.42632,0.000218,0.000218,0.000218
92,1619.94,0.09876,0.30572,0.20791,0.10101,0.89039,0.99973,1,0.995,0.99375,0.99973,1,0.995,0.97441,0.12846,0.1991,0.20912,0.12602,0.41785,0.0001982,0.0001982,0.0001982
93,1637.6,0.095,0.28792,0.19193,0.09366,0.88608,0.99973,1,0.995,0.99384,0.99973,1,0.995,0.96746,0.12214,0.20338,0.17512,0.12446,0.41375,0.0001784,0.0001784,0.0001784
94,1654.99,0.09261,0.27771,0.17845,0.09187,0.89209,1,1,0.995,0.99097,1,1,0.995,0.96491,0.13475,0.20192,0.1689,0.12784,0.4342,0.0001586,0.0001586,0.0001586
95,1672.4,0.08903,0.25676,0.16682,0.08899,0.88761,1,1,0.995,0.99339,1,1,0.995,0.97589,0.1358,0.19791,0.14733,0.12841,0.43516,0.0001388,0.0001388,0.0001388
96,1690.04,0.08647,0.27061,0.16532,0.08848,0.88893,0.99973,1,0.995,0.99469,0.99973,1,0.995,0.9776,0.13101,0.18847,0.13557,0.14513,0.42774,0.000119,0.000119,0.000119
97,1707.71,0.08627,0.27575,0.15279,0.08474,0.88685,1,1,0.995,0.99332,1,1,0.995,0.97256,0.12614,0.18835,0.13818,0.13072,0.42737,9.92e-05,9.92e-05,9.92e-05
98,1725.13,0.0822,0.25996,0.14455,0.08259,0.88138,1,1,0.995,0.99374,1,1,0.995,0.97679,0.13009,0.17732,0.12781,0.13266,0.42284,7.94e-05,7.94e-05,7.94e-05
99,1742.55,0.0806,0.24929,0.14014,0.08049,0.88741,1,1,0.995,0.9908,1,1,0.995,0.97551,0.12897,0.1751,0.13001,0.12141,0.42692,5.96e-05,5.96e-05,5.96e-05
100,1759.94,0.0792,0.24091,0.13414,0.07926,0.8811,1,1,0.995,0.99342,1,1,0.995,0.98176,0.12672,0.17383,0.12884,0.12228,0.42633,3.98e-05,3.98e-05,3.98e-05
